0;0
822;755
822;755
820;760
824;761
820;760
819;756
821;760
832;760
824;755
821;755
824;757
830;764
825;760
821;762
820;758
816;759
820;760
821;762
822;759
820;760
820;762
820;760
820;760
821;756
823;756
820;757
823;756
823;757
823;756
820;757
818;762
818;760
818;761
816;760
806;757
805;754
812;752
805;760
811;752
812;749
810;753
808;753
804;756
0;0
896;895
824;731
864;911
874;789
904;743
880;893
912;749
898;813
830;904
912;912
876;852
824;766
846;710
907;852
923;874
871;781
823;753
894;749
846;768
859;895
829;813
840;887
873;730
892;907
928;736
896;854
935;706
894;842
847;880
864;815
880;863
890;727
846;815
909;807
853;907
905;777
850;855
888;720
925;831
900;899
860;748
935;896
913;810
928;904
883;808
931;896
0;1006
896;783
852;886
873;748
832;832
871;910
831;896
895;828
927;778
911;910
871;905
866;873
853;883
911;834
919;903
848;908
888;909
879;775
896;841
927;904
911;787
906;903
820;878
824;781
1008;4
927;836
852;890
911;896
939;862
864;790
862;737
928;773
930;897
846;884
853;730
906;759
855;754
865;912
860;712
863;710
873;717
922;734
911;888
854;732
857;886
911;898
890;720
874;888
0;1005
921;876
896;754
853;845
923;764
881;793
887;764
883;786
844;908
927;768
891;892
928;739
928;864
919;752
904;756
912;895
918;757
843;768
904;892
828;845
832;757
863;896
833;885
1022;7
896;856
834;856
888;760
936;760
871;816
932;824
933;840
856;876
929;912
863;812
867;754
929;900
928;791
863;856
847;888
901;900
927;880
943;796
