883;899
860;700
852;749
827;765
861;788
845;720
837;837
823;752
880;872
886;907
823;877
889;783
873;715
831;847
889;888
904;701
851;817
827;849
870;707
917;896
865;692
812;906
848;687
913;892
920;725
914;823
870;833
836;694
812;907
815;699
839;864
841;759
887;757
887;892
920;895
919;900
901;744
904;819
855;806
843;750
824;865
815;767
828;860
840;769
851;904
864;737
911;894
9p4;700
928;903
923;729
914;892
921;815
923;800
916;870
928;719
915;892
914;709
892;907
906;710
864;925
872;705
843»899
819;768
888;709
893;896
912;718
920;901
859;897
827;699
822;896
818;736
848;850
903;796
908;859
904;798
875;802
856;795
835;788
81<;799
828;801
835;807
886;767
920;890
914;776
897;887
846;765
815;869
830;741
863;885
911;714
916;880
889;850
832;743
816;836
893;766
932;822
883;800
858;880
909;731
927;906
831;726
810;911
879;706
906;904
898;711
863;903
917;717
813;891
812;768
844;903
895;757
916;804
887;711
843;904
899;904
812;735
839;915
914;715
89·;89<
819;735
875;904
918;726
872;911
823;768
850;877
912;831
915;843
